রপ্তানি	﻿রপ্তানি

আকুমল	আকুমল
তাঁকে	তাঁকে
বললো	বললো
আপনার	আপনার
ছেলের	ছেলের
কাছ	কাছ
থেকে	থেকে
আপনার	আপনার
ছবির	ছবির
কথা	কথা
শুনেছি	শুনেছি

আইনের	আইনের
মারপ্যাঁচ	মারপ্যাঁচ
লক্ষ্য	লক্ষ্য
করে	করে
যদি	যদি
ঝোপ	ঝোপ
বুঝে	বুঝে
কোপ	কোপ
মারতে	মারতে
পারো	পারো
যদি	যদি
ভালো	ভালো
উকিল	উকিল
মোক্তারের	মোক্তারের
পিছনে	পিছনে
টু-পাইস	টু-পাইস
ঢালতে	ঢালতে
পারো	পারো
যদি	যদি
গণপতি	গণপতি
সামন্তর	সামন্তর
মতো	মতো
তদ্বিরকারককে	তদ্বিরকারককে
রাহা	রাহা
খরচ	খরচ
জলখাবার	জলখাবার
এবং	এবং
কমিশনে	কমিশনে
রাখতে	রাখতে
পারো	পারো
তা	তা
হলে	হলে
আইনটা	আইনটা
তোমার	তোমার

গাড়ি	গাড়ি
হাজির	হাজির

ইদানীং	ইদানীং
রঙের	রঙের
ক্ষেত্রে	ক্ষেত্রে
অদ্ভুত	অদ্ভুত
শক্তি	শক্তি
নৈপুণ্যের	নৈপুণ্যের
প্রকাশ	প্রকাশ
দেখা	দেখা
যাচ্ছে	যাচ্ছে

প্রথমে	প্রথমে
দুটো	দুটো
শক্ত	শক্ত
বিষয়	বিষয়
পড়বে	পড়বে

মার্চ	মার্চ
অন্ধ্রপ্রদেশের	অন্ধ্রপ্রদেশের
নারায়ণ	নারায়ণ
কামারি	কামারি
যাঁকে	যাঁকে
আরও	আরও
জনা	জনা
পনেরো	পনেরো
গ্রামবাসীর	গ্রামবাসীর
সঙ্গে	সঙ্গে
জ্বলন্ত	জ্বলন্ত
বাড়িতে	বাড়িতে
ঠেলে	ঠেলে
দেওয়া	দেওয়া
হয়েছিল	হয়েছিল

কলকাতা	কলকাতা
থেকে	থেকে
মাত্র	মাত্র
পাঁচ	পাঁচ
কিলোমিটার	কিলোমিটার
দূরে	দূরে
ডানকুনির	ডানকুনির
কাছে	কাছে
সবুজ	সবুজ
শ্যামলীমার	শ্যামলীমার
মাঝে	মাঝে
গড়ে	গড়ে
ওঠা	ওঠা
অন্যতম	অন্যতম
একটি	একটি
সাদা	সাদা
দুধ	দুধ
বাড়ি	বাড়ি

বাঘ	বাঘ
সিংহ	সিংহ
শিকার	শিকার
করে	করে
আনে	আনে
আর	আর
শেয়াল	শেয়াল
চণ্ডরব	চণ্ডরব
দিব্যি	দিব্যি
বসে	বসে
বসে	বসে
খায়	খায়

এইরূপ	এইরূপ
শিলাখণ্ডগুলি	শিলাখণ্ডগুলি
পরস্পরের	পরস্পরের
সহিত	সহিত
ও	ও
নদীগর্ভের	নদীগর্ভের
সহিত	সহিত
সংঘর্ষের	সংঘর্ষের
ফলে	ফলে
ক্ষয়প্রাপ্ত	ক্ষয়প্রাপ্ত
হইয়া	হইয়া
ক্রমশঃ	ক্রমশঃ
মসৃণ	মসৃণ
এবং	এবং
গোলাকার	গোলাকার
নুড়ি	নুড়ি
কঙ্কর	কঙ্কর
ও	ও
অবশেষে	অবশেষে
বালুকণাতে	বালুকণাতে
পরিণত	পরিণত
হয়	হয়

তবে	তবে
সনকার	সনকার
চোখে	চোখে
তফাত্	তফাত্
ধরা	ধরা
পড়বে	পড়বে
বই	বই
কি	কি

বর্তমান	বর্তমান
বাঙালীর	বাঙালীর
ধারণায়	ধারণায়
তন্ত্র	তন্ত্র
জটিল	জটিল
অনাচরণীয়	অনাচরণীয়
ধর্ম	ধর্ম

কিন্তু	কিন্তু
একটা	একটা
বিপদে	বিপদে
পড়েছেন	পড়েছেন
বলে	বলে
মনে	মনে
হচ্ছে	হচ্ছে

দিনের	দিনের
মধ্যে	মধ্যে
বিধানসভায়	বিধানসভায়
তাঁদের	তাঁদের
সংখ্যাগরিষ্ঠ	সংখ্যাগরিষ্ঠ
প্রমাণ	প্রমাণ
করতে	করতে
হবে	হবে

তাহা	তাহা
ছাড়া	ছাড়া
কমিউনিষ্ট	কমিউনিষ্ট
দলের	দলের
সর্বব্যাপক	সর্বব্যাপক
নিয়ন্ত্রণ	নিয়ন্ত্রণ
আমলাতান্ত্রিক	আমলাতান্ত্রিক
কুফলগুলি	কুফলগুলি
প্রতিরোধে	প্রতিরোধে
সমর্থ	সমর্থ
হয়	হয়

সুতরাং	সুতরাং
প্রথম	প্রথম
প্রথম	প্রথম
রামবাবু	রামবাবু
বিশেষ	বিশেষ
আগ্রহ	আগ্রহ
দেখাননি	দেখাননি

তাই	তাই
গণ	গণ
জ্ঞাপনবিদদের	জ্ঞাপনবিদদের
প্রধান	প্রধান
আলোচনার	আলোচনার
প্রধান	প্রধান
ক্ষেত্র	ক্ষেত্র
হল	হল
সেই	সেই
জ্ঞাপন	জ্ঞাপন
পদ্ধতি	পদ্ধতি
যা	যা
মুখের	মুখের
ভাষাকে	ভাষাকে
অবলম্বন	অবলম্বন
করেই	করেই
রচিত	রচিত
এবং	এবং
হয়	হয়
সরাসরি	সরাসরি
না	না
হয়	হয়
কোন	কোন
মাধ্যমকে	মাধ্যমকে
অবলম্বন	অবলম্বন
করেই	করেই
যা	যা
পরিব্যাপ্ত	পরিব্যাপ্ত

এক	এক
মহাকাশ	মহাকাশ
প্রতিযোগিতায়	প্রতিযোগিতায়
প্রথম	প্রথম
দিকে	দিকে
দারুনভাবে	দারুনভাবে
এগিয়ে	এগিয়ে
থাকলেও	থাকলেও
1963র	1963র
মধ্যেই	মধ্যেই
সোভিয়েত	সোভিয়েত
দেশ	দেশ
এবং	এবং
মার্কিন	মার্কিন
যুক্তরাষ্ট্রের	যুক্তরাষ্ট্রের
আগের	আগের
ব্যবধান	ব্যবধান
বেশ	বেশ
কিছুটা	কিছুটা
কমে	কমে
এল	এল

পূর্বোল্লেখিত	পূর্বোল্লেখিত
1638টি	1638টি
প্রবাদ	প্রবাদ
ব্যতীত	ব্যতীত
সালের	সালের
সংখ্যায়	সংখ্যায়
আরও	আরও
102টি	102টি
প্রকাশিত	প্রকাশিত
হয়েছিল	হয়েছিল
দেখা	দেখা
যায়	যায়

বহন	বহন
দণ্ডের	দণ্ডের
দুই	দুই
প্রান্তে	প্রান্তে
বিভিন্ন	বিভিন্ন
পশুর	পশুর
মুখ	মুখ
খোদাই	খোদাই
করা	করা

গাড়ির	গাড়ির
রক্ষণাবেক্ষণ	রক্ষণাবেক্ষণ
রমেশ	রমেশ
মিত্র	মিত্র
রোডে	রোডে
পঁয়ত্রিশ	পঁয়ত্রিশ
বছর	বছর
ধরে	ধরে
রয়েছে	রয়েছে
হাবুল'স	হাবুল'স
অটো	অটো
এঞ্জিনীয়ারিং	এঞ্জিনীয়ারিং
ওয়ার্কস	ওয়ার্কস
আর	আর
বিগড়ে	বিগড়ে
যাওয়া	যাওয়া
গাড়ি	গাড়ি
সারানোর	সারানোর
ওস্তাদ	ওস্তাদ
কারিগর	কারিগর
গোপাল	গোপাল
দেবনাথ	দেবনাথ

অন্যান্য	অন্যান্য
ভাবের	ভাবের
ক্ষেত্রে	ক্ষেত্রে
শুভফল	শুভফল
মিত্র	মিত্র
উচ্চগৃহে	উচ্চগৃহে
অবস্থানের	অবস্থানের
উপর	উপর
নির্ভরশীল	নির্ভরশীল

যাঁহারা	যাঁহারা
সিদ্ধ	সিদ্ধ
সাধক	সাধক
তাঁহারা	তাঁহারা
সকলেই	সকলেই
এই	এই
ভাব	ভাব
লইয়া	লইয়া
সংসারের	সংসারের
সহিত	সহিত
ব্যবহার	ব্যবহার
করেন	করেন

তবে	তবে
কেন্দ্রীয়	কেন্দ্রীয়
সরকার	সরকার
পঞ্জাবীদের	পঞ্জাবীদের
পুনর্বাসনে	পুনর্বাসনে
যে	যে
মেহনত	মেহনত
অর্থ	অর্থ
ও	ও
সদিচ্ছা	সদিচ্ছা
নিয়োগ	নিয়োগ
করেছিলেন	করেছিলেন
দীর্ঘকাল	দীর্ঘকাল
বাঙালির	বাঙালির
পুনর্বাসনে	পুনর্বাসনে

যদি	যদি
হিসাবের	হিসাবের
কোন	কোন
ভুল	ভুল
বাহির	বাহির
হইয়া	হইয়া
থাকে	থাকে
সঙ্গে	সঙ্গে
সঙ্গে	সঙ্গে
তাহা	তাহা
সংশোধন	সংশোধন
করিয়া	করিয়া
লয়	লয়

পূর্ব	পূর্ব
সংস্করণের	সংস্করণের
যে	যে
ভুল-ভ্রান্তি	ভুল-ভ্রান্তি
দৃষ্টিগোচর	দৃষ্টিগোচর
হয়েছে	হয়েছে
সেগুলি	সেগুলি
সংশোধন	সংশোধন
করা	করা
হয়েছে	হয়েছে

অসিত	অসিত
বন্দ্যোপাধ্যায়	বন্দ্যোপাধ্যায়
জয়দেব	জয়দেব
সংস্কৃত	সংস্কৃত
সাহিত্যের	সাহিত্যের
একটি	একটি
বিশেষ	বিশেষ
পর্বের	পর্বের
স্তম্ভবিশেষ	স্তম্ভবিশেষ
এবং	এবং
বাঙালীর	বাঙালীর
গর্বের	গর্বের
কারণ	কারণ

নিজত্ব	নিজত্ব
ও	ও
মানবত্বের	মানবত্বের
মধ্যে	মধ্যে
ব্যবধানকে	ব্যবধানকে
কাচের	কাচের
শার্সির	শার্সির
মতো	মতো
একদম	একদম
স্বচ্ছ	স্বচ্ছ
করতে	করতে
না	না
পারলে	পারলে
শিল্পী-সত্তা	শিল্পী-সত্তা
যুগোত্তীর্ণ	যুগোত্তীর্ণ
নিত্যত্বের	নিত্যত্বের
ধারক-বাহক	ধারক-বাহক
হতে	হতে
পারে	পারে
না	না

সুতরাং	সুতরাং
তিনি	তিনি
যেন	যেন
সপ্তাহ	সপ্তাহ
নয়	নয়
আজ	আজ
থেকে	থেকে
চতুর্থ	চতুর্থ
দিন	দিন
পরেই	পরেই
আমাদের	আমাদের
রাজধানীতে	রাজধানীতে
প্রবেশের	প্রবেশের
অনুমতি	অনুমতি
প্রদান	প্রদান
করেন	করেন

সবাই	সবাই
চলে	চলে
গেছে	গেছে
ওখানে	ওখানে

সঙ্গে	সঙ্গে
সঙ্গে	সঙ্গে
মেয়েগুলি	মেয়েগুলি
উল্টো	উল্টো
দিকে	দিকে
দৌড়তে	দৌড়তে
লাগল	লাগল

ইহাতে	ইহাতে
তাহার	তাহার
অর্থ	অর্থ
শ্রম	শ্রম
ও	ও
সময়ের	সময়ের
লাঘব	লাঘব
হইয়া	হইয়া
থাকে	থাকে

এসেছে	এসেছে
আমাদের	আমাদের
ফাঁদে	ফাঁদে
ফেলতে	ফেলতে

দরজা	দরজা
খুলে	খুলে
দিয়েছিলেন	দিয়েছিলেন
অপর্ণার	অপর্ণার
মা	মা

তা	তা
কি	কি
হল	হল
না	না
মালকিন	মালকিন
এবার	এবার
নিজেই	নিজেই
কুকুরের	কুকুরের
ওপর	ওপর
ক্ষাপ্পা	ক্ষাপ্পা

খেয়ালে	খেয়ালে
অনেক	অনেক
স্বাধীনতা	স্বাধীনতা
ব্যবহার	ব্যবহার
করা	করা
যায়	যায়

সকাল	সকাল
হলে	হলে
চারিদিকে	চারিদিকে
খোঁজ	খোঁজ
পড়ে	পড়ে
গেল	গেল

অমলেন্দু	অমলেন্দু
আমাকে	আমাকে
বলেছিল	বলেছিল
তুমি	তুমি
নিশ্চয়	নিশ্চয়
ভোরের	ভোরের
বেদিং	বেদিং
ঘাট	ঘাট
দেখবে	দেখবে
-না	-না
হলে	হলে
তোমার	তোমার
কলকাতা	কলকাতা
দেখা	দেখা
সম্পূর্ণ	সম্পূর্ণ
হবে	হবে
না	না

এ	এ
বন	বন
ছেড়ে	ছেড়ে
চলে	চলে
গেল	গেল

মধ্যভারতীয়	মধ্যভারতীয়
আর্য্যে	আর্য্যে
কোথাও-কোথাও	কোথাও-কোথাও
বিশেষ্যের	বিশেষ্যের
শব্দরূপ	শব্দরূপ
সর্বনামের	সর্বনামের
শব্দরূপের	শব্দরূপের
মতো	মতো
হতে	হতে
দেখা	দেখা
যায়	যায়

আজকের	আজকের
রাজনীতি	রাজনীতি

কোন	কোন
পরিবর্তনও	পরিবর্তনও
নেই	নেই

একেবারে	একেবারে
অন্য	অন্য
একটা	একটা
জগতে	জগতে

কাজেই	কাজেই
প্রথম	প্রথম
যে-দিন	যে-দিন
গ্রাঁদ	গ্রাঁদ
শমিয়ের	শমিয়ের
'-এ	'-এ
গেলাম	গেলাম
বুকের	বুকের
ভিতর	ভিতর
কেমন	কেমন
ঢিপঢিপ	ঢিপঢিপ
করতে	করতে
লাগল	লাগল
যেন	যেন
কি	কি
এক	এক
অনির্দিষ্টের	অনির্দিষ্টের
উদ্দেশ্যে	উদ্দেশ্যে
অভিযান	অভিযান
করছি	করছি

তবু	তবু
ভদ্রতার	ভদ্রতার
খাতিরে	খাতিরে
কোন	কোন
মতে	মতে
মাথা	মাথা
নেড়ে	নেড়ে
গেলেন	গেলেন

সেইজন্য	সেইজন্য
কারবারের	কারবারের
বিভিন্ন	বিভিন্ন
কর্মে	কর্মে
নিযুক্ত	নিযুক্ত
কর্মীদের	কর্মীদের
স্বচ্ছন্দে	স্বচ্ছন্দে
জীবনধারণের	জীবনধারণের
উপযুক্ত	উপযুক্ত
মজুরী	মজুরী
চাকুরীতে	চাকুরীতে
নিরাপত্তা	নিরাপত্তা
বাসস্থান	বাসস্থান
ও	ও
চিকিত্সার	চিকিত্সার
সুব্যবস্থা	সুব্যবস্থা
সন্তানের	সন্তানের
শিক্ষার	শিক্ষার
ব্যবস্থা	ব্যবস্থা
অবসরকালীন	অবসরকালীন
পেনসন	পেনসন
ইত্যাদি	ইত্যাদি
সুযোগ	সুযোগ
সুবিধাগুলি	সুবিধাগুলি
প্রদান	প্রদান
করা	করা
কারবারীর	কারবারীর
অবশ্য	অবশ্য
কর্তব্য	কর্তব্য

সেই	সেই
প্রেম	প্রেম
প্রেম	প্রেম
খেলা	খেলা

বেঘোরে	বেঘোরে
প্রাণটা	প্রাণটা
খোয়াতে	খোয়াতে
হবে	হবে

মোটেই	মোটেই
হাল্কাভাবে	হাল্কাভাবে
ম্যাচটা	ম্যাচটা
নেয়নি	নেয়নি
আমার	আমার
ছেলেরা	ছেলেরা

পুলিশের	পুলিশের
রিপোর্ট	রিপোর্ট
আমি	আমি
বিশ্বাস	বিশ্বাস
করি	করি
না	না

ছোট	ছোট
মটরশুঁটির	মটরশুঁটির
মতো	মতো
দেখতে	দেখতে
একটু	একটু
দুটি	দুটি
বা	বা
বেশ	বেশ
কয়েকটি	কয়েকটি
মাইওমা	মাইওমা
ধীরে	ধীরে
ধীরে	ধীরে
বেড়ে	বেড়ে
কমলালেবুর	কমলালেবুর
আকৃতি	আকৃতি
ধারণ	ধারণ
করে	করে
দুই	দুই
থেকে	থেকে
তিন	তিন
বছরের	বছরের
মধ্যেই	মধ্যেই

কিছুকাল	কিছুকাল
পরে	পরে
সোনারপুরের	সোনারপুরের
একটা	একটা
পোড়ো	পোড়ো
জায়গায়	জায়গায়
ওই	ওই
ধরণের	ধরণের
কাঁচপোকার	কাঁচপোকার
সন্ধান	সন্ধান
পাওয়া	পাওয়া
গেল	গেল

রণর	রণর
এসে	এসে
পড়ার	পড়ার
অপেক্ষা	অপেক্ষা

হাতে	হাতে
শাদা	শাদা
শাঁখা	শাঁখা
তো	তো
আছেই	আছেই
সেই	সেই
সঙ্গে	সঙ্গে
লাল	লাল
পলার	পলার
চুড়ি	চুড়ি

চিলের	চিলের
মত	মত
ছোঁ	ছোঁ
মেরে	মেরে
আক্রমণ	আক্রমণ
করার	করার
জন্য	জন্য
শত্রু	শত্রু
পক্ষ	পক্ষ
তাঁকে	তাঁকে
নাম	নাম
দিয়েছেন	দিয়েছেন
চিলারায়	চিলারায়

ঠিক	ঠিক
জানিস্্	জানিস্্

স্বল্প	স্বল্প
গোঁফের	গোঁফের
রেখা	রেখা
ওঠা	ওঠা
মুখখানি	মুখখানি
প্রবলভাবে	প্রবলভাবে
হেলিয়ে	হেলিয়ে
কানটা	কানটা
একেবারে	একেবারে
কাঁধের	কাঁধের
সঙ্গে	সঙ্গে
ঠেকিয়েই	ঠেকিয়েই
ফেললো	ফেললো
রিমঝিম	রিমঝিম

কয়লা	কয়লা
ও	ও
অন্যান্য	অন্যান্য
যৌগের	যৌগের
দহন	দহন
পরীক্ষা	পরীক্ষা
করে	করে
এ	এ
ল্যাভিয়সিয়েরই	ল্যাভিয়সিয়েরই
প্রথম	প্রথম
ব্যক্তি	ব্যক্তি
যিনি	যিনি
দেখিয়েছিলেন	দেখিয়েছিলেন
যে	যে
কার্বন	কার্বন
একটা	একটা
সরল	সরল
পদার্থ	পদার্থ

প্রথম	প্রথম
প্রস্তাব	প্রস্তাব
অনুযায়ী	অনুযায়ী
স্যার	স্যার
আইজাক	আইজাক
নিউটন	নিউটন
আলোর	আলোর
প্রকৃতি	প্রকৃতি
ব্যাখ্যা	ব্যাখ্যা
করিতে	করিতে
গিয়া	গিয়া
কণিকা	কণিকা
তত্ত্ব	তত্ত্ব

বা	বা
নিঃসরণ	নিঃসরণ
তত্ত্ব	তত্ত্ব

উপস্থাপিত	উপস্থাপিত
করেন	করেন
এবং	এবং
দ্বিতীয়	দ্বিতীয়
প্রস্তাব	প্রস্তাব
অনুযায়ী	অনুযায়ী
হাইগেন্স	হাইগেন্স
ইয়ং	ইয়ং
ফ্রেনল	ফ্রেনল
প্রমুখ	প্রমুখ
বিজ্ঞানীরা	বিজ্ঞানীরা
আলোর	আলোর
তরঙ্গ	তরঙ্গ
তত্ত্ব	তত্ত্ব

প্রবর্তন	প্রবর্তন
করেন	করেন

কাঠঠোকরা	কাঠঠোকরা
ছুটির	ছুটির
দিনে	দিনে
কলকাতা	কলকাতা
ছেড়ে	ছেড়ে
কিছু	কিছু
দূরে	দূরে
কোথাও	কোথাও
যখ	যখ
আর	আর
পাখি	পাখি
দেখতে	দেখতে
যাবার	যাবার
জায়গা	জায়গা
থাকে	থাকে
না	না
তখন	তখন
হয়	হয়
যাই	যাই
আলিপুরের	আলিপুরের
চিড়িয়াখানায়	চিড়িয়াখানায়
না	না
হয়	হয়
শিবপুরের	শিবপুরের
বটানিক্যাল	বটানিক্যাল
গার্ডেনে	গার্ডেনে

আমি	আমি
আপনাকে	আপনাকে
ঠিকানা	ঠিকানা
দিয়ে	দিয়ে
দেব	দেব
আপনি	আপনি
ফোনে	ফোনে
য়্যাপয়েণ্টমেণ্ট	য়্যাপয়েণ্টমেণ্ট
করে	করে
চলে	চলে
যাবেন	যাবেন

শচীন্দ্রলাল	শচীন্দ্রলাল
ঘোষ	ঘোষ

যাকে	যাকে
বলে	বলে
গোষ্ঠীবদ্ধ	গোষ্ঠীবদ্ধ
হয়ে	হয়ে
বাস	বাস
করা	করা

হাঁড়ির	হাঁড়ির
তলা	তলা
মাটি	মাটি
লেপা	লেপা
হয়	হয়
কেন	কেন

সমাজের	সমাজের
ভ্রূকুটি-ভঙ্গিতে	ভ্রূকুটি-ভঙ্গিতে
তাহার	তাহার
স্রোত	স্রোত
বিপরীত	বিপরীত
মুখে	মুখে
ফিরে	ফিরে
নাই	নাই

আমার	আমার
জীবনে	জীবনে
এই	এই
ডাইনি	ডাইনি
সংক্রান্ত	সংক্রান্ত
বেশ	বেশ
কিছু	কিছু
অভিজ্ঞতা	অভিজ্ঞতা
রয়েছে	রয়েছে
যা	যা
একই	একই
সঙ্গে	সঙ্গে
লোমহর্ষক	লোমহর্ষক
আবার	আবার
অজানা	অজানা
রহস্যে	রহস্যে
ভরা	ভরা

সন্ধ্যাবেলায়	সন্ধ্যাবেলায়
গান	গান
গানের	গানের
পর	পর
বাইরের	বাইরের
বাসগৃহ	বাসগৃহ
ফুল	ফুল
দিয়ে	দিয়ে
সাজানো	সাজানো
হলে	হলে
এবং	এবং
সুরভিত	সুরভিত
ধুপ	ধুপ
দিয়ে	দিয়ে
সুবাসিত	সুবাসিত
হলে	হলে
বন্ধুর	বন্ধুর
সাথে	সাথে
বিছানায়	বিছানায়
অভিসারিকাদের	অভিসারিকাদের
জন্য	জন্য
প্রতিক্ষা	প্রতিক্ষা
করবে	করবে

আমি	আমি
শুনছি	শুনছি
ডাক্তার	ডাক্তার
ব্যানার্জী	ব্যানার্জী
এখন	এখন
কোলকাতার	কোলকাতার
একজন	একজন
সেরা	সেরা
অর্থপেডিক	অর্থপেডিক
সার্জেন	সার্জেন

মিসেস	মিসেস
চাওলা	চাওলা
তাকে	তাকে
স্পেশাল	স্পেশাল
খাতির	খাতির
করলেন	করলেন

তাই	তাই
বহু	বহু
কষ্টে	কষ্টে
শ্বাসকষ্ট	শ্বাসকষ্ট
বুকে	বুকে
বয়ে	বয়ে
দেবদাসকে	দেবদাসকে
পার্বতীর	পার্বতীর
বাড়ীর	বাড়ীর
সামনে	সামনে
অশ্বত্থ	অশ্বত্থ
গাছের	গাছের
তলায়	তলায়
শেষ	শেষ
নিঃশ্বাস	নিঃশ্বাস
ফেলতে	ফেলতে
হয়েছে	হয়েছে
পার্বতীর	পার্বতীর
সঙ্গে	সঙ্গে
শেষ	শেষ
দেখার	দেখার
সুতীব্র	সুতীব্র
আকাংখা	আকাংখা
বুকে	বুকে
নিয়ে	নিয়ে

কনজাংকটিভাইটিস	কনজাংকটিভাইটিস
হলে	হলে
পশুর	পশুর
চোখ	চোখ
লাল	লাল
হয়ে	হয়ে
ওঠে	ওঠে
ফোলা	ফোলা
ভাবও	ভাবও
থাকে	থাকে
অবিরত	অবিরত
চোখ	চোখ
দিয়ে	দিয়ে
জল	জল
গড়ায়	গড়ায়

যেমন	যেমন
নং	নং
ছবির	ছবির
সংখ্যা	সংখ্যা
লেখা	লেখা
কার্ডটার	কার্ডটার
ডান	ডান
দিকের	দিকের
দুটো	দুটো
ফুটোকে	ফুটোকে
কেটে	কেটে
বড়	বড়
করা	করা
হয়েছে	হয়েছে

পুরাণ	পুরাণ
কাহিনীতে	কাহিনীতে
মুনিঋষির	মুনিঋষির
ধ্যান	ধ্যান
ভঙ্গ	ভঙ্গ
করা	করা
যত	যত
সহজ	সহজ
ছিল	ছিল
গোষ্ঠর	গোষ্ঠর
বেলায়	বেলায়
তা	তা
ছিল	ছিল
না	না

তারপর	তারপর
বিভিন্ন	বিভিন্ন
সংস্থার	সংস্থার
পক্ষ	পক্ষ
থেকে	থেকে
বারবার	বারবার
মাল্যভূষিত	মাল্যভূষিত
হন	হন
এবং	এবং
সেই	সেই
সব	সব
ফুলের	ফুলের
বোঝা	বোঝা
বইতে-বইতেই	বইতে-বইতেই
তিনি	তিনি
মাইকের	মাইকের
সামনে	সামনে
উপস্থিত	উপস্থিত
হয়ে	হয়ে
জনগণের	জনগণের
উদ্দেশ্যে	উদ্দেশ্যে
বক্তৃতা	বক্তৃতা
করেন	করেন

জয়ের	জয়ের
আশা	আশা
নেই	নেই
দেখে	দেখে
মোহনবাগান	মোহনবাগান
দ্বিতীয়	দ্বিতীয়
ইনিংসে	ইনিংসে
ব্যাট	ব্যাট
করে	করে
এবং	এবং
দিনের	দিনের
শেষে	শেষে
করে	করে

তাঁরা	তাঁরা
পাইপ	পাইপ
বন্ধ	বন্ধ
করতে	করতে
ভুলে	ভুলে
যান	যান

অপরের	অপরের
মমতা	মমতা
আমি	আমি
সহ্য	সহ্য
করতে	করতে
পারিনি	পারিনি
কোনোদিন	কোনোদিন


একটি	একটি
সরল	সরল
দোলগতিযুক্ত	দোলগতিযুক্ত
কণার	কণার
দোলনকালে	দোলনকালে
এবং	এবং
বিস্তার	বিস্তার
কণাটি	কণাটি
যখন	যখন
মধ্য	মধ্য
অবস্থান	অবস্থান
হইতে	হইতে

দূরে	দূরে
তখন	তখন
উহার	উহার
ত্বরণ	ত্বরণ
নির্ণয়	নির্ণয়
করে	করে

মনসুরদ্দীনের	মনসুরদ্দীনের
সংগৃহীত	সংগৃহীত
পাড়া	পাড়া
গেঁয়ে	গেঁয়ে
গান	গান
পর্য্যায়ে	পর্য্যায়ে
তিনটি	তিনটি
দ্বিতীয়ার্ধ	দ্বিতীয়ার্ধ
1ম	1ম
সংখ্যা	সংখ্যা
3য়	3য়
সংখ্যা	সংখ্যা
2টি	2টি
এবং	এবং
ধুয়াগান	ধুয়াগান
নামে	নামে
2টি	2টি
গান	গান
বঙ্গবাণী	বঙ্গবাণী
'তে	'তে
সংকলিত	সংকলিত
হয়েছে	হয়েছে

মদনা	মদনা
আসলে	আসলে
সুইপার	সুইপার
লাইনে	লাইনে
কাজ	কাজ
ছাড়া	ছাড়া
আর	আর
সব	সব
কিছুতেই	কিছুতেই
আগ্রহী	আগ্রহী

প্রথম	প্রথম
প্রথম	প্রথম
কথাটা	কথাটা
শুনে	শুনে
চমকে	চমকে
ছুটে	ছুটে
ছুটে	ছুটে
আসত	আসত
হিমানী	হিমানী
লাঠি	লাঠি
হাতে	হাতে
নিয়ে	নিয়ে

উক্ত	উক্ত
সাক্ষী	সাক্ষী
পলায়ন	পলায়ন
করাতে	করাতে
এবং	এবং
বিচারের	বিচারের
সময়	সময়
তাহাকে	তাহাকে
উপস্থিত	উপস্থিত
করাতে	করাতে
অসাধ্য	অসাধ্য
হওয়াতে	হওয়াতে
প্রমাণ	প্রমাণ
বিষয়ক	বিষয়ক
নতুন	নতুন
আইনের	আইনের
ধারার	ধারার
প্রকরণ	প্রকরণ
মতে	মতে
উক্ত	উক্ত
প্রমাণ	প্রমাণ
গ্রহণ	গ্রহণ
করিতে	করিতে
বলা	বলা
হইয়াছিল	হইয়াছিল

সুতরাং	সুতরাং
বলা	বলা
যায়	যায়
এই	এই
সময়	সময়
খ্রীশ্চান	খ্রীশ্চান
মিশনারিরা	মিশনারিরা
ব্রিটিশ	ব্রিটিশ
রাজত্বের	রাজত্বের
সুযোগে	সুযোগে
নিজেদের	নিজেদের
ধর্মকে	ধর্মকে
এদেশে	এদেশে
প্রতিষ্ঠিত	প্রতিষ্ঠিত
করার	করার
উদ্দেশ্য	উদ্দেশ্য
সফল	সফল
করার	করার
জন্য	জন্য
আমাদের	আমাদের
কিছু	কিছু
ধর্মীয়	ধর্মীয়
উন্মাদনা	উন্মাদনা
বন্ধ	বন্ধ
করতে	করতে
সাহায্য	সাহায্য
করেছিল	করেছিল

এবং	এবং
নিন্দেও	নিন্দেও

16শ	16শ
কাঁটা	কাঁটা
সো	সো
উ	উ
সো	সো
ব্রাকেটের	ব্রাকেটের
অংশটুকু	অংশটুকু
রিপিট	রিপিট
করুন	করুন
শেষ	শেষ
ঘর	ঘর
পূর্ব	পূর্ব
পর্য্যন্ত	পর্য্যন্ত
উ	উ
সো	সো

ঝগড়া	ঝগড়া
পর্দায়	পর্দায়
পর্দায়	পর্দায়
বেড়ে	বেড়ে
চলল	চলল

আর	আর
আছেন	আছেন
সোম	সোম
যাঁর	যাঁর
সঙ্গে	সঙ্গে
কাল	কাল
আপনাদের	আপনাদের
আলাপ	আলাপ
করিয়ে	করিয়ে
দিয়েছিলাম	দিয়েছিলাম

শয়নকক্ষের	শয়নকক্ষের
তালাবন্ধ	তালাবন্ধ
আমি	আমি
বাইরের	বাইরের
ঘরের	ঘরের
বেঞ্চে	বেঞ্চে
শুই	শুই
বেশ	বেশ
অন্যরকম	অন্যরকম
একটা	একটা
জীবন	জীবন
কাটছে	কাটছে

অনার্দ্র	অনার্দ্র
এই	এই
লবণকে	লবণকে
সোডা-ভস্ম	সোডা-ভস্ম

বলে	বলে

অবিকল	অবিকল
আমাদের	আমাদের
হারানো	হারানো
বাড়ি	বাড়ি

ফলে	ফলে
দু'	দু'
