রপ্তানি	﻿রপ্তান
কিছু	কিছু
বেশী	বেশ

চ্যাটার্জী	চ্যাটার্জ
তোমার	তুমি
কাছে	কাছ
ডাকাত	ডাকা
সর্দার	সর্দা
যে	যে
সোনার	সোনা
জিনিসগুলো	জিনিসগুল
রেখেছে	রা
সেগুলো	সেগুল
দিয়ে	দেওয়া
দিলে	দেওয়া
আমাদের	আমি
আর	আর
কোনোদিন	কোনোদি
তোমার	তুমি
ঘরে	ঘর
ঢোকার	ঢোকা
প্রয়োজন	প্রয়োজন
হবে	হওয়া
না	না

ওয়াকিবহাল	ওয়াকিবহা
মিস	মি
ওয়াইপার	ওয়াইপা
বললেন	বলা
না	না
মিষ্টার	মিষ্টা
ভরত	ভর
সিং	সিং
নয়	না
ওকে	ও
তো	তো
আমি	আমি
চিনি	চিনি

প্রবন্ধগাননিষ্ণাত	প্রবন্ধগাননিষ্ণা
প্রবন্ধ	প্রবন্
গানে	গান
অভিজ্ঞ	অভিজ্ঞ
হওয়া	হওয়া

ভালই	ভাল
কাটাচ্ছিলেন	কাটাচ্ছি
দুজনে	দড়া

ইসলামের	ইসলা
ভাষা	ভাষা
হিসাবে	হিসাব
উর্দুর	উর্দু
চেয়ে	চেয়ে
আরবীর	আরবী
দাবী	দাব
বেশি	বেশি
শহীদুল্লাহ	শহীদুল্লা
পাকিস্তানের	পাকিস্তা
নীতি	নীত
হওয়া	হওয়া
উচিত্	উচিত
ভাষাতাত্ত্বিক	ভাষাতাত্ত্বি
স্বাধিকার	স্বাধি

ভাষাতাত্ত্বিক	ভাষাতাত্ত্বি
দখলদারি	দখলদার

নয়	না

ভগবান	ভগবান
কি	কি
মানুষের	মানুষ
জন্য	জন্য
না	না
মানুষ	মানুষ
ভগবানের	ভগবান
জন্য	জন্য

এটা	এই
আপনি	আপনি
নিজেই	নিজ
করতে	করা
পারবেন	পারা

এবং	এবং
সালের	সাল
মে	ম
পরিশোধযোগ্য	পরিশোধযোগ্
সাড়ে	সাড়
টাকা	টাকা
হারে	হার
প্রতিটি	প্রতি
টাকার	টাকা
ঋণপত্র	ঋণপত্র

সবচেয়ে	সবচা
ভাল	ভাল
কাজ	কাজ
করেছেন	করা
গ্রামে	গ্রাম
গ্রামে	গ্রাম
ব্যাঙ্ক	ব্যাঙ্ক
বসিয়েছেন	বসা

তার	তার
বক্তৃতা	বক্তৃত
শোনার	শোনা
প্রতিক্রিয়া	প্রতিক্র
এই	এই
প্রকার	প্রকার

অন্যটি	অন্যট
দমদমের	দমদ
অধিনায়ক	অধিনায়
কর্নেল	কর্নে
আনসউইককে	আনসউই

ভক্তের	ভক্
বিপদে	বিপদ
গুরুর	গুরু
আসন	আসন
টলে	
উঠবে	উঠব
না	না

বরুণ	বরুণ
কুমার	কুমার
চক্রবর্ত্তী	চক্রবর্ত্ত

অবশ্য	অবশ্য
একই	এক
সঙ্গে	সঙ্গ
সামাজিক	সামাজই
পুঁজির	পুঁজি
মোট	মো
পরিমাণ	পরিমাণ
বাড়ে	বাড়

আমি	আমি
আকাশ	আকাশ
থেকে	থেকে
পড়লাম	পড়লা
ধন্যকুমারজীর	ধন্যকুমারজী
কথা	কথা
শুনে	শা

উপর	উপর
থেকে	থেকে
ঝুরঝশর	ঝুরঝশ
করে	করা
সিমেণ্ট	সিমেণ্
বালি	বাল
ঝরছে	ঝ

আমি	আমি
জিজ্ঞেস	জিজ্ঞে
করতে	করা
তিনি	তিনি
বললেন	বলা
আমরা	আমি
টঙ্ক	টঙ্ক
পরিবারের	পরিবার
লোক	লোক

কিন্তু	কিন্তু
তিনি	তিনি
চলে	চলা
যাবার	যাওয়া
পরই	পর
সি	সি
পি	পি
এম	এ
কর্মীরা	কর্মী
রউফ	রউফ
আনসারিকে	আনসার
অপমান	অপমান
করে	করা

আমার	আমি
দাদা	দাদা
দিদি	দিদি
দুজনেই	দড়া
অধ্যাপনার	অধ্যাপনা
জগতে	নেওতে
আছেন	আছে

খ্রীষ্টাব্দে	খ্রীষ্টাব্দ
শাহমীর	শাহমী
নামে	নাম
জনৈক	জনৈ
মুসলমান	মুসলমা
হিন্দুবংশের	হিন্দুবং
অবসান	অবসা
ঘটাইয়া	ঘটাইয়
কাশ্মীরে	কাশ্মীর
মুসলমানবংশের	মুসলমানবং
প্রতিষ্ঠা	প্রতিষ্ঠ
করেন	করা

দেশদ্রোহিতার	দেশদ্রোহি
মামলা	মামলা
স্বর্ণ	স্বর্
মন্দিরের	মন্দির
ভিতর	ভিতর
ও	ও
বৈশাখী	বৈশাখ
উত্্সবের	উত্্স
মিছিলে	মিছ
খলিস্তানপন্থী	খলিস্তানপন্থ
স্লোগান	স্লোগান
দেওয়ার	দেওয়া
জন্য	জন্য
কয়েকজন	কয়েকজন
বিশ্ব	বিশ্ব
যুবকের	যুব
বিরুদ্ধে	বিরুদ্ধ
দেশদ্রোহিতার	দেশদ্রোহি
মামলা	মামলা
দায়ের	দা
করা	করা
হয়েছে	হওয়া

মহামেডানের	মহামেডা
প্রথম	প্রথম
গোল	গোল
নির্ময়ের	নির্ম
পাওয়ার	পাওয়া
কথা	কথা

কথাগুলো	কথাগ
শুনতে	শুি
ভালো	ভালো
লাগছে	লা
কিন্তু	কিন্তু
লজ্জায়	লজ্জা
মুখ	মুখ
তুলতে	তুলনো
পারছে	পারা
না	না

এই	এই
প্রসঙ্গে	প্রসঙ্গ
ভারতের	ভারত
প্রাচীন	প্রাচীন
ইতিহাস	ইতিহাস
এবং	এবং
প্রাচীন	প্রাচীন
ভারতীয়	ভারত
শাস্ত্রসমূহ	শাস্ত্রসমূ
নিয়ে	নেওয়া
গবেষণার	গবেষণা
বিশেষ	বিশেষ
প্রয়োজন	প্রয়োজন
আছে	আছে

গারোরা	গারোর
নিজেদের	নিজ
আচিক	আচি
বা	বা
মান্দে	মান্দ
বলেন	বলা

দ্বিতীয়বার	দ্বিতীয়বা
চৌত্রিশ	চৌত্রি
সালে	সাল
তিনশো	তিনশ
চার	চার
তৃতীয়বারে	তৃতীয়ব
একশো	একশো
তিন	তিন
এবং	এবং
সেদিন	সেদিন
চতুর্থ	চতুর্থ
তথা	তথা
শেষ	শেষ
বারে	বার
একশ	এক
তিয়াত্তর	তিয়াত্ত
অপরাজিত	অপরাজি

ভাষার	ভাষা
ধ্বনি	ধ্বনি
পরিবর্তনের	পরিবর্তন
যেমন	যেমন
নানা	নানা
কারণ	কারণ
আছে	আছে
তেমনি	তেমন
অর্থ	অর্থ
পরিবর্তনেরও	পরিবর্তন
নানা	নানা
কারণ	কারণ
আছে	আছে

আদি	আদি
শাস্ত্রগ্রন্থ	শাস্ত্রগ্রন্
বেদের	বে
মধ্যের	মধ্
মধ্যেই	মধ্য
এই	এই
দর্শনটি	দর্শনট
নিহিত	নিহি
বলে	বলে
এর	এ
নাম	নাম
বেতান্ত	বেতান্
দর্শন	দর্শন

যেমন	যেমন
করেই	করা
হোক	হওয়া
আজ	আজ
বেগমহাসপাতাল	বেগমহাসপাতা
পৌঁছে	পৌঁছে
পোখরার	পোখরা
বাস	বাস
ধরতে	ধরা
হবে	হওয়া

ভয়ে	ভয়
অঞ্জলির	অঞ্জলি
হাতের	হাত
তালু	তাল
ঘামতে	ঘা
থাকে	থাকা

বুধের	বু
কোন	কোন
উপগ্রহ	উপগ্র
এখনো	এখন
আবিষ্কৃত	আবিষ্কৃ
হয়নি	হওয়া

নির্বাচিত	নির্বাচি
এলাকায়	এলাকা
বাধ্যতামূলক	বাধ্যতামূল
প্রাথমিক	অ্রাথম
শিক্ষা	শিক্ষা
প্রবর্তন	প্রবর্ত
করে	করা
তার	তার
সাফল্যকে	সাফল্যক
সারা	সারা
দেশময়	দেশম
বিস্তৃত	বিস্তৃত
করে	করা
দিতে	দেওয়া
হবে	হওয়া

যেটা	যে
চোখ-সওয়া	চোখ-সওয়
হয়ে	হয়ে
যায়	যায়
সেটাকে	সেট
আর	আর
তত	তত
দোষের	দোষে
মনে	মন
হয়	হয়
না	না

বছরের	বছর
কোম্পানী	কোম্পান
হিরো	হিরো

তিন	তিন
মাস	মাস
পরে	পর
শে	শ
আগস্ট	আগস্
বৃত্তাকার	বৃত্তাকা
কক্ষপথে	কক্ষপথ
উত্ক্ষিপ্ত	উত্ক্ষিপ্
হল	হওয়া
দ্বিতীয়	দ্বিতীয়
মহাশূন্যযান	মহাশূন্যযা

সেটিও	সে
পরম	পরম
বৃষ্য	বৃষ্য

নং	ন
ধারা	ধারা
কেহ	তিনি
যদি	যদি
স্থায়ী	স্থায়ী
ভাবে	ভাব
পঙ্গু	পঙ্গু
হইয়া	হওয়া
পড়েন	পড়ে
তাহাকে	তিনি
সাত	সাত
হাজার	হাজার
পাঁচ	পাঁচ
শত	শত
টাকা	টাকা
ও	ও
মৃত্যু	মৃত্যু
হইলে	হওয়া
তাহাকে	তিনি
পনের	পনে
হাজার	হাজার
টাকা	টাকা
ক্ষতিপূরণ	ক্ষতিপূর
দিতে	দেওয়া
হইবে	ওইা

এই	এই
তিন	তিন
নাড়ীর	নাড়ী
কামনা	কামনা
কামকলার	কামকলা
সাহায্যে	সাহায্য
করিতে	করা
হয়	হয়

মোট	মো
কথা	কথা
হাতে	হাত
না	না
মেরে	ম
ভাতে	ভাত
মারার	মারা
ব্যবস্থা	ব্যবস্থা
করলো	করল

পারব	পারা
আমি	আমি

তাই	তা
খ্রীষ্টাব্দে	খ্রীষ্টাব্দ
গেবরের	গেব
পরিকল্পনা	পরিকল্পনা
অনুযায়ী	অনুযায়ী
হলোগ্রাম	হলোগ্রা
তৈরী	তৈর
করা	করা
হয়	হয়
এবং	এবং
তাহা	তাহা
হইতে	হওয়া
ত্রিমাত্রিক	ত্রিমাত্রি
প্রতিবিম্ব	প্রতিবিম্
গঠন	গঠন
করা	করা
সম্ভব	সম্ভব
হয়	হয়
নাই	না

সালে	সাল
মাদ্রাজে	মাদ্রাজ
সেণ্ট	সেণ্
জর্জ	জর্জ
দুর্গ	দুর্
নির্মিত	নির্মি
হয়	হয়

ইলেকট্রনের	ইলেকট্র
ব্যাস	ব্যাস

একটি	এক
ইলেকট্রনের	ইলেকট্র
ব্যাস	ব্যাস
প্রায়	প্রায়

সে.মি.	সে.

আমার	আমি
ভেতরটা	ভেতরট
একেবারে	একেবারে
গুমোট	গুমো
হয়ে	হয়ে
গেছে	হও

একেবারে	একেবারে
বেরিয়ে	া
গিয়ে	গিয়ে
রাতে	রাত
ফিরবেন	ফির

মঞ্চে	মঞ্চ
আরো	আর
কিছুটা	কিছু
সময়	সময়
এইভাবে	এইভাব
কেটে	কেটড়ানো
যাবে	যাওয়া

কত	কত
টাকা	টাকা
আছে	আছে
তোর	তো
হাতে	হাত

কিন্তু	কিন্তু
উনবিংশ	উনবিং
শতাব্দীতে	শতাব্দ
বাংলা	বাংল
দেশের	দেশ
প্রায়	প্রায়
সমকালীন	সমকালী
বললেই	বলা
চলে	চলা
এমন	এমন
একদল	একদ
সাহিত্যিক	সাহিত্যি
ও	ও
শিক্ষাবিদ	শিক্ষাবি
দেখা	দেখা
দেন	দেওয়া
যারা	যারাই
বিদ্যাসাগর	বিদ্যাসাগ
বা	বা
রামমোহনের	রামমোহ
মত	মত
সমাজ	সমাজ
সংস্কার	সংস্কার
প্রচেষ্টায়	প্রচেষ্টা
কোন	কোন
সক্রিয়	সক্রি
ভূমিকা	ভূমিকা
গ্রহণ	গ্রহণ
না	না
করলেও	কর
তাদের	তুমি
সাহিত্য-	সাহিত্য
সৃষ্টি	সৃষ্টি
মতবাদ	মতবাদ
ও	ও
আদর্শ	আদর্শ
বাংলার	বাংলা
নবজাগরণের	নবজাগর
পশ্চাতে	পশ্চাত
বিরাট	বিরা
একটি	এক
শক্তিরূপে	শক্তির
কাজ	কাজ
করেছিল	করা

ক্ষয়চক্র	ক্ষয়চক্
এইরূপ	এইরূপ
শেষ	শেষ
অবস্থায়	অবস্থা
আসে	আসা
কারণ	কারণ
নদীর	নদী
ঢাল	ঢা
ক্রমশঃ	ক্রমশ
কমিয়া	কম
আসে	আসা
ও	ও
নদীর	নদী
শক্তি	শক্তি
হ্রাস	হ্রাস
পায়	পাওয়া

ফলে	ফল
কর্মচারীদের	কর্মচারী
একটি	এক
বিরাট	বিরা
সংখ্যাকে	সংখ্যাক
ট্রেড-ইউনিয়ন	ট্রেড-ইউনিয়
য়্যাক্ট	য়্যাক্
ও	ও
ইণ্ডাট্রিয়্যাল	ইণ্ডাট্রিয়্যা
ডিসপিউট্	ডিসপিউট
য়্যাক্টের	য়্যাক্
আওতার	আওতা
বাইরে	বাা
রাখা	রাখা
হয়েছে	হওয়া

একরত্তি	একরত্ত
এক	এক
খরগোশ	খরগো
তাকে	তা
খেয়ে	খা
কি	কি
পেট	পেট
ভরে	ভরা

দর্পণের	দর্প
বিপরীত	বিপরী
দিক	দিক
দেখার	দেখা
জন্যই	জন্য
উত্সাহ	উত্সা
কারণ	কারণ
দর্পণ	দর্প
শুধুই	শুধু
ক্লান্ত	ক্লান্ত
করে	করা
থিয়েটারের	থিয়েটার
প্রয়োগের	প্রয়ো
মধ্য	মধ্য
দিয়ে	দেওয়া
মায়া	মায়
দর্পণ	দর্পণ
পেতে	পা
যাওয়া	যাওয়া

ঠিক	ঠিক
এই	এই
মুহূর্তে	মুহূর্ত
মনে	মন
একটি	এক
প্রশ্ন	প্রশ্ন
এল	এল
চীন	চীন
কি	কি
বর্তমানে	বর্তমান
রঙ্গকৌতুকের	রঙ্গকৌতু
চর্চা	চর্চ
বর্জন	বর্জন
করেছে	করা

আধুনিক	আধুনিক
লেখকরা	লেখকর
আধা-খাজনা	আধা-খাজন
তত্ত্বটি	তত্ত্বট
অন্যান্য	অন্যান্য
ক্ষেত্রেও	ক্ষেত্র
প্রয়োগ	প্রয়োগ
করেন	করা

রাষ্ট্রবিজ্ঞান	রাষ্ট্রবিজ্ঞা
পরিচয়	পরিচয়
অধ্যাপক	অধ্যাপক
বন্দ্যোপাধ্যায়	বন্দ্যোপাধ্যায়
গণতান্ত্রিক	গণতান্ত্রি
শাসনব্যবস্থার	শাসনব্যবস্থা
সাফল্যের	সাফল্
জন্য	জন্য
এই	এই
শর্তগুলিই	শর্তগু
যথেষ্ট	যথেষ্ট
নহে	না

কিন্তু	কিন্তু
তিনি	তিনি
কি	কি
করবেন	কর

এইবার	এইবার
আগের	আগ
মতো	মতো
বিপরীত	বিপরী
দিকে	দিক
এই	এই
আসনটি	আসনট
অভ্যাস	অভ্যাস
কর	কর
অর্থাত্	অর্থাত
এইবার	এইবার
কোমর	কোম
থেকে	থেকে
শরীরের	শরীর
উপরের	উপ
অংশ	অংশ
ডান	ডান
দিকে	দিক
বেঁকিয়ে	বেঁক
ডান	ডান
হাত	হাত
দিয়ে	দেওয়া
ডান	ডান
পা	পা
ছোঁও	ছোঁ
এবং	এবং
সঙ্গে	সঙ্গ
সঙ্গে	সঙ্গ
ঘাড়	ঘা
বাঁকাও	বাঁকা
এবং	এবং
উপরে	উপর
প্রসারিত	প্রসারিত
বাঁ	বাঁ
হাতের	হাত
দিকে	দিক
তাকাও	তাকা

এ	এ
ছবির	ছ
বিশিষ্ট	বিশিষ্ট
কয়েকটি	কয়েক
চরিত্রে	চরিত্র
অভিনয়	অভিনয়
করেছেন	করা
মাধবী	মাধব
চক্রবর্তী	চক্রবর্ত
সুমিত্রা	সুমিত্র
মুখোপাধ্যায়	মুখোপাধ্যায়
সন্তু	সন্ত
মুখোপাধ্যায়	মুখোপাধ্যায়
রবি	রব
ঘোষ	ঘোষ
সন্তোষ	সন্তো
দত্ত	দত্ত
নবাগত	নবাগ
ধ্রুব	ধ্রু
মিত্র	মিত্র
প্রমুখ	প্রমুখ

বিভূতি	বিভূত
আরে	আর
শোন্	শোনা
শোন্	শোনা
আরো	আর
খবর	খবর
আছে	আছে

ঊনবিংশ	ঊনবিং
শতাব্দীতে	শতাব্দ
অনেক	অনেক
সাধারণ	সাধারণ
মানুষ	মানুষ
ও	ও
বৈজ্ঞানিকের	বৈজ্ঞানি
মোটামুটি	মোটামুটি
ধারণা	ধারণা
ছিল	থাকা
যে	যে
মৃত্যুর	মৃত্যু
পরেও	পর
চোখের	চোখ
একটা	এক
পরমায়ু	পরমায়
রয়েছে	রওয়া

ব্যবহারবাদী	ব্যবহারবাদ
ওয়াটসনের	ওয়াটস

অভিমতও	অভিমত
জেমসের	জেম
অভিমতের	অভিম
অনুরূপ	অনুরূপ

কারণ	কারণ
প্রথমত	প্রথম
সংস্কৃত	সংস্কৃ
ছিল	থাকা
ইন্দো-ইউরোপীয়	ইন্দো-ইউরোপী
বা	বা
আর্য্য	আর্য্য
বংশের	বংশ
ভাষা	ভাষা

এই	এই
বিষয়ে	বিষয়
কবির	কবি
উক্তি	উক্ত
এই	এই
সময়ে	সময়
পিয়ানো	পিয়ান
বাজাইয়া	বাজাইয়
জ্যোতিদাদা	জ্যোতিদাদ
নতুন	নতুন
নতুন	নতুন
সুর	সু
তৈরী	তৈর
করায়	করা
মাতিয়াছিলেন	মাতিয়াছি

প্রত্যক্ষদর্শীদের	প্রত্যক্ষদর্শী
বিবরণের	বিবর
সঙ্গে	সঙ্গ
রেসিরাজের	রেসিরা
সাদৃশ্য	সাদৃশ্য
রয়েছে	রওয়া

নিজেই	নিজ
কথাটা	কথা
ঘুরিয়ে	ঘুর
নিল	নি
সে	তিনি
এতগুলো	এতগুল
ছেলে	ছেলে
যখন	যখন
তোমাকে	তোমানো
দেখতে	দেখা
পেয়েছে	পেয়া
তখন	তখন
খবর	খবর
চাপা	চাপা
থাকবে	থাকা
না	না

এই	এই
গতিতে	গত
নিজস্ব	নিজস্ব
কক্ষপথ	কক্ষপথ
ধরে	ধরা
সূর্যকে	সূর্য
একবার	একবার
সম্পূর্ণ	সম্পূর্ণ
রূপে	রূপ
ঘুরে	ঘানো
আসতে	আসা
পৃথিবীর	পৃথিবী
সময়	সময়
লাগে	লাগা
দিন	দিন
ঘণ্টা	ঘণ্টা
সূক্ষ্ম	সূক্ষ্ম
হিসাবে	হিসাব
দিন	দিন
5	5
ঘণ্টা	ঘণ্টা
মিনিট	মিনিট
সেকেণ্ড	সেকেণ্

ল্যাস্কির	ল্যাস্কি

ন্যায়	ন্যায়
রাষ্ট্রবিজ্ঞানীও	রাষ্ট্রবিজ্ঞানী
অভিমত	অভিম
প্রকাশ	প্রকাশ
করিয়াছেন	করা
যে	যে
অর্থনৈতিক	অর্থনুমি
বৈষম্য	বৈষম্য
সমাজব্যবস্থায়	সমাজব্যবস্থা
বর্তমান	বর্তমান
থাকিলেও	থাকি
স্বাধীন	স্বাধীন
মত	মত
প্রকাশের	প্রকা
সুযোগ	সুযোগ
হইতে	হওয়া
জনগণ	জনগ
বঞ্চিত	বঞ্চিত
হইবে	হওয়া

মারো	মার
বেড়ালকে	বেড়া

ওর	ও
কথাবার্তা	কথাবার্ত
এবং	এবং
হাবভাবের	হাবভা
মধ্যে	মধ্যে
এমন	এমন
এক	এক
ধরনের	ধরন
ছেলেমানুষী	ছেলেমানুষ
আছে	আছে
যা	যা
আমাকে	আমা
আকর্ষণ	আকর্ষণ
করে	করা

আবার	আবার
প্রাকৃতিক	প্রাকৃতি
পরিবেশও	পরিব
বিভিন্ন	বিভিন্ন
দেশের	দেশ
মানবসমাজে	মানবসমাজ
বিভিন্ন	বিভিন্ন
ধরনের	ধরন
বৈশিষ্ট্য	বৈশিষ্ট্
দান	দান
করিয়াছে	করা

তাতে	তা
আমাদের	আমি
বড়	ব
বড়	বড়
লেখকরা	লেখ
অনেক	অনেক
চমত্কার	চমত্কা
বই	বই
লিখে	লোলা
গেছেন	গেছো

বলতে	বলা
এই	এই
এল	এল
বুঝি	নেওঝি
আপদটা	আপদট
ফিরে	ফিরে

তাঁর	তিনি
হাতে	হাত
গড়া	গড়া
শান্তিনিকেতনে	শান্তিনিকে
শিষ্য-প্রশিষ্য	শিষ্য-প্রশিষ্
অনুরাগীদের	অনুরাগী
মধ্যে	মধ্যে

ঈশ্বর	ঈশ্ব
যে	যে
আছেন	আছে
তা	তা
তার	তার
এই	এই
দিব্যভাবরূপের	দিব্যভাবরূ
মধ্যেই	মধ্য
প্রতিফলিত	প্রতিফ
হতো	হওয়া

আর	আর
প্রাচীন	প্রাচীন
ব্যাধি	ব্যাধ
সাধারণতঃ	সাধারণত
তিন	তিন
জাতীয়	জাতীয়
বিষ	বিষ
থেকে	থেকে
উত্পন্ন	উত্পন্
হয়	হয়
সোরিক	সোরি
সাইকোটিক	সাইকোটি
এবং	এবং
(3)	(3)
সিফিলিটিক	সিফিলি

একদিকে	একদিক
মূল	মূ
নির্য্যাস	নির্য্যা
ও	ও
মর্মার্থের	মর্মার্থে
জায়গায়	জায়গা
আক্ষরিক	আক্ষরি
অর্থের	অর্
উপর	উপর
বেশী	বেশ
গুরুত্ব	গুরুত্ব
আরোপ	আরোপ
করে	করা
সে	তিনি
চিন্তাকে	চিন্ত
করে	করা
তোলা	তোল
হচ্ছিল	হচ্া
এক	এক
অনড়	অন
পবিত্র	পবিত্র
সূত্রের	সূত্র
মত	মত

তরুণ	তরুণ
বয়সেও	বয়
অনেকে	অনেক
এর	এ
শিকার	শিকার
হতে	হতে
পারেন	পারা

চাঁদ	চাঁ
সম্পর্কে	সম্পর্ক
শিশুর	শিশু
জ্ঞান	জ্ঞান
কী	কী
রকম	রকম

তারপর	তারপ
রাতের	রাত
ডাউন	ডাউ
হিমগিরি	হিমগ
এক্সপ্রেসে	এক্সপ্র
পুলিশের	পুলি
সহযোগিতায়	সহযোগি
ছটি	
বার্থ	বার্থ
সংগ্রহ	সংগ্রহ
করে	করা
চেপে	চোলা
বসল	বসা
সকলে	সকল

মা	মা
বলে	বলে
রসনা	রসনা
রকমের	রকম
স্বাদের	স্বাদ
হয়	হয়

পড়িয়েছেন	পড়িয়ে
দার্জিলিং	দার্জিলি
কন্্ভেণ্ট	কন্্ভেণ্
যাদবপুর	যাদবপু
ইউনিভার্সিটিতে	ইউনিভার্সিট

কারণ	কারণ
গত	গত
দশদিনে	দশদিন
আমরা	আমি
ব্যাটল	ব্যাট
অফ	অফ
চিলি	চিল
ছাড়া	ছাড়
তৃতীয়	তৃতীয়
বিশ্বের	বিশ্ব
যে-সব	যে-স
ছবি	ছবি
দেখেছি	দেখা
তার	তার
নির্বাচন	নির্বাচন
নিয়ে	নেওয়া
প্রশ্ন	প্রশ্ন
তুললে	তু
অনেক	অনেক
প্রশ্ন	প্রশ্ন
ওঠে	ওঠা

গান	গান
শুনতে	শুানো
আমার	আমি
এত	এত
ভালো	ভালো
লাগে	লাগা

অনিমেষ	অনিমে
ভেবে	ুমি
পাচ্ছিল	পাচ্
না	না
গতকাল	গতকা
ওরকম	ওরক
ধুঁকতে	ধুঁ
ধুঁকতে	ধুঁ
আসা	আসা
মানুষটি	মানুষট
এরকম	এরক
তাজা	তাজা
হয়ে	হয়ে
যান	যাওয়া
কী	কী
ভাবে	ভাব

উনার	উনা
ছেলেরা	ছেলে
কে	কে
কোথায়	কোথায়
আছে	আছে
কেউ	কে
জানে	জানা
না	না

তার	তার
হাতাতালির	হাতাতা
শব্দ	শব্দ
শুনে	নেওনে
তান্ত্রিকের	তান্ত্রি
শিষ্য	শিষ্য
একটা	এক
ভাল্লুককে	ভাল্লু
টানতে	টানত
টানতে	টানত
সেখানে	সেখান
হাজির	হাজির
হলো	হলো

সেদিন	সেদিন
আমি	আমি
ব্রেকফার্স্ট	ব্রেকফার্স্
করছি	করা
হঠাত্	হঠাত
আমার	আমি
দারোয়ান	দারোয়া
এসে	তিনি
খবর	খবর
দিলে	দেওয়া
যে	যে
একটা	এক
লোক	লোক
আমার	আমি
সঙ্গে	সঙ্গ
দেখা	দেখা
করতে	করা
চায়	চাওয়া

এপর	এপ
জনশ্রুতিতে	জনশ্রুত
দেখি	দেখা
পরদুঃখে	পরদুঃখ
কাতর	কাত
ভাদু	ভাদু
অত্যাচারিত	অত্যাচা
অন্ত্যজ	অন্ত্য
বাউরী	বাউর
বাগ্দীদের	বাগ্দী
পক্ষালম্বন	পক্ষালম্ব
করায়	করা
রাজার	রাজা
আভিজাত্যে	আভিজাত্য
আঘাত	আঘাত
লাগে	লাগা
এবং	এবং
ব্যর্থ	ব্যর্থ
মনোরথ	মনোর
হয়ে	হয়ে
ভাদু	ভাদু
আত্মহত্যা	আত্মহত্য
করে	করা

দিনরাত	দিনরা
তাঁতের	তাঁ
সানা	সান
উঠছে	উওয়া
নামছে	না
দড়ির	দড়ি
টানে	টান
মাকু	মাক
অবিশ্রান্ত	অবিশ্রান্
অক্লান্তভাবে	অক্লান্তভাব
ঠকঠকিয়ে	ঠকঠক
এধার	এধা
ওধার	ওধা
যাচ্ছে	যাওয়া
আর	আর
আসছে	আসা

উদ্ভিদ-জগতে	উদ্ভিদ-জ
জনন	জনন
পদ্ধতি	পদ্ধত

উদ্ভিদ-জগতে	উদ্ভিদ-জ
আমরা	আমি
প্রধানতঃ	প্রধানত
তিনপ্রকার	তিনপ্রকা
জনন	জনন
দেখিতে	দেখা
পাই	পাই
অঙ্গজ-জনন	অঙ্গজ-জন

অযৌন	অযৌ
জনন	জনন

যৌন	যৌ
জনন	জনন

কিন্তু	কিন্তু
ইজভেসতিয়ার	ইজভেসতি
মতে	মত
সংকটের	সংক
সময়	সময়
পশ্চিম	পশ্চি
ইউরোপে	ইউরোপ
ওই	ও
অস্ত্র	অস্ত্র
পাঠানো	পাঠান
হবে	হওয়া
এই	এই
কল্পনা	কল্পনা
শুরু	শুরু
করতে	করা
পারে	পারা
বোকারা	বোকার

সখীকে	সখীক
ডাকতে	ডা
থাকলে	থাকা
বন্ধুদের	বন্ধু
ডাকতে	ডাকত
আরম্ভ	আরম্ভ
করবে	করা

কয়েকটা	কয়েক
মুহূর্ত	মুহূর্ত
চুপ	চুপ
করে	করা
থাকলেন	থাক
নন্দরানী	নন্দরান

আজ	আজ
থেকে	থেকে
পঞ্চাশ	পঞ্চাশ
বছর	বছর
আগে	আগে
মানুষ	মানুষ
নিজের	নিজ
শ্রাদ্ধ	শ্রাদ্
নিজে	নিজ
করে	করা
উত্তরাখণ্ডের	উত্তরাখণ্
তীর্থ	তীর্
যাত্রায়	যাত্রা
বেরুত	বে

লঙ	ল
লিভ	লি
দ্য	দ্য
কিং	কিং

প্রচলিত	প্র
রীতি	রীতি
অনুযায়ী	অনুযায়ী
আমি	আমি
নিমপাতা	নিমপাত
উচ্ছে	উচ
খাওয়ার	খাওয়া
মতো	মতো
প্রথম	প্রথম
বিষয়ে	বিষয়
আলোকপাত	আলোকপা
করে	করা
পরে	পর
দ্বিতীয়	দ্বিতীয়
বিষয়ে	বিষয়
মধুরেণ	মধুরে
সমাপয়েত্	সমাপয়েত
করা	করা
যাবো	যাবো

সুলেখা	সুলেখ
বললো	বলল
ওর	ও
চোখের	চোখ
মণি	মণ
ভাগনেটির	ভাগনে
কী	কী
হলো	হলো

-এর	-এ
নীতি	নীত
নির্ধারণ	নির্ধার
করেন	করা
পার্লামেণ্টের	পার্লামেণ্
জন	জন
সদস্য	সদস্য
নিয়ে	নেওয়া
গঠিত	গঠিতা
একটি	এক
যুগ্ম	যুগ্ম
সাংসদীয়	সাংসদী
কমিশন	কমিশন

জনবৃদ্ধির	জনবৃদ্ধি
উচ্চতর	উচ্চত
হার	হার
মানবসমাজ	মানবসমা
যতই	যত
প্রসারিত	প্রসারিত
সুসভ্য	সুসভ্য
ও	ও
সমৃদ্ধ	সমৃদ্ধ
হইতে	হওয়া
শুরু	শুরু
হইল	তিনি
